Australia,Europe
-5.82569,-2.481539
-5.605622,-3.045613
7.000219,-1.833871
-1.779724,-0.537396
-7.831911,-3.604218
3.270541,-1.777613
-0.7753863,-3.670217
-6.958557,1.463173
1.331211,-0.9485106
1.047758,-2.231706
4.395148,2.351215
3.506159,-4.225991
-1.986475,3.497559
0.0953802,0.521723
0.7430114,1.562368
-0.8992189,0.9440015
-3.464707,-0.2544045
1.541677,1.822092
-1.310764,7.250401
-1.352907,0.6884378
1.04309,-3.401933
-0.326086,-0.9048394
-5.030779,-2.926744
-2.754131,-0.6677938
-4.457841,-3.2524
-3.506436,1.80263
-2.171529,3.172551
2.736283,-2.468552
-6.123699,-3.119802
4.080319,3.584249
5.071618,2.622324
5.00089,0.2110949
2.457309,0.3185654
-5.137797,5.638285
-1.325239,-3.853728
1.286419,1.691659
-1.003358,0.0298713
-5.402416,2.317796
1.872229,0.2948211
0.8556986,-1.283638
0.3941222,-1.183419
0.2197872,-0.9447125
1.328324,-1.963625
2.12809,0.1799945
5.826093,-1.743954
2.297909,-2.946931
2.955067,1.135907
0.2962095,-0.088659
-6.689581,-2.027406
2.828836,-2.105514
-5.774574,-1.844383
1.618814,-4.080673
3.908841,-0.3119272
-2.561867,3.761256
0.2945383,0.4860065
0.0566708,-0.3486282
0.3693638,2.768917
5.604151,2.319342
2.685652,-0.354006
2.302552,1.158508
-2.951684,-1.223565
-1.400458,2.128861
1.895528,-2.403614
4.687567,-1.239362
-0.3279355,1.436582
-3.056434,0.4731587
0.5986502,-2.663839
2.748807,-1.054253
-2.532329,4.073445
0.9829863,2.222978
-4.450456,-0.0989656
2.051041,-3.912885
1.135,-1.313477
-3.058168,3.434016
2.5064,-0.4292555
0.5113605,2.99384
-1.332977,5.43418
0.3622328,-1.59678
0.3625076,0.8930543
0.0091182,0.4824816
1.981415,1.203412
1.383441,4.011177
-2.590465,-1.142113
0.7623492,1.100738
0.1926382,0.7555401
1.859595,0.2940333
2.024747,0.202421
-0.635819,-1.336953
3.48993,0.5715365
0.3977282,-0.4567952
